player,team,lg,season,replaced,hof
Otis Birdsong,West,NBA,1980,FALSE,FALSE
Adrian Dantley,West,NBA,1980,FALSE,TRUE
Walter Davis,West,NBA,1980,FALSE,FALSE
World B. Free,West,NBA,1980,FALSE,FALSE
Dennis Johnson,West,NBA,1980,FALSE,TRUE
Marques Johnson,West,NBA,1980,FALSE,FALSE
Magic Johnson,West,NBA,1980,FALSE,TRUE
Jack Sikma,West,NBA,1980,FALSE,TRUE
Kermit Washington,West,NBA,1980,FALSE,FALSE
Scott Wedman,West,NBA,1980,TRUE,FALSE
Paul Westphal,West,NBA,1980,FALSE,TRUE
Doug Collins,East,NBA,1979,TRUE,FALSE
Bob Dandridge,East,NBA,1979,FALSE,TRUE
Julius Erving,East,NBA,1979,FALSE,TRUE
George Gervin,East,NBA,1979,FALSE,TRUE
Elvin Hayes,East,NBA,1979,FALSE,TRUE
Larry Kenon,East,NBA,1979,FALSE,FALSE
Bob Lanier,East,NBA,1979,FALSE,TRUE
Moses Malone,East,NBA,1979,FALSE,TRUE
Pete Maravich,East,NBA,1979,FALSE,TRUE
Calvin Murphy,East,NBA,1979,FALSE,TRUE
Campy Russell,East,NBA,1979,FALSE,FALSE
Rudy Tomjanovich,East,NBA,1979,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1979,FALSE,TRUE
Otis Birdsong,West,NBA,1979,FALSE,FALSE
Walter Davis,West,NBA,1979,FALSE,FALSE
Artis Gilmore,West,NBA,1979,FALSE,TRUE
Dennis Johnson,West,NBA,1979,FALSE,TRUE
Marques Johnson,West,NBA,1979,FALSE,FALSE
Maurice Lucas,West,NBA,1979,FALSE,FALSE
George McGinnis,West,NBA,1979,FALSE,TRUE
Jack Sikma,West,NBA,1979,FALSE,TRUE
David Thompson,West,NBA,1979,FALSE,TRUE
Paul Westphal,West,NBA,1979,FALSE,TRUE
Doug Collins,East,NBA,1978,FALSE,FALSE
Dave Cowens,East,NBA,1978,FALSE,TRUE
Julius Erving,East,NBA,1978,FALSE,TRUE
George Gervin,East,NBA,1978,FALSE,TRUE
John Havlicek,East,NBA,1978,FALSE,TRUE
Elvin Hayes,East,NBA,1978,FALSE,TRUE
Larry Kenon,East,NBA,1978,FALSE,FALSE
Billy Knight,East,NBA,1978,TRUE,FALSE
Moses Malone,East,NBA,1978,FALSE,TRUE
Pete Maravich,East,NBA,1978,TRUE,TRUE
Bob McAdoo,East,NBA,1978,FALSE,TRUE
Truck Robinson,East,NBA,1978,FALSE,FALSE
Randy Smith,East,NBA,1978,FALSE,FALSE
Rick Barry,West,NBA,1978,FALSE,TRUE
Walter Davis,West,NBA,1978,FALSE,FALSE
Artis Gilmore,West,NBA,1978,FALSE,TRUE
Lionel Hollins,West,NBA,1978,FALSE,FALSE
Bobby Jones,West,NBA,1978,FALSE,TRUE
Bob Lanier,West,NBA,1978,FALSE,TRUE
Maurice Lucas,West,NBA,1978,FALSE,FALSE
David Thompson,West,NBA,1978,FALSE,TRUE
Bill Walton,West,NBA,1978,FALSE,TRUE
Paul Westphal,West,NBA,1978,FALSE,TRUE
Brian Winters,West,NBA,1978,FALSE,FALSE
Phil Chenier,East,NBA,1977,FALSE,FALSE
Doug Collins,East,NBA,1977,FALSE,FALSE
Dave Cowens,East,NBA,1977,TRUE,TRUE
Julius Erving,East,NBA,1977,FALSE,TRUE
George Gervin,East,NBA,1977,FALSE,TRUE
John Havlicek,East,NBA,1977,FALSE,TRUE
Elvin Hayes,East,NBA,1977,FALSE,TRUE
Pete Maravich,East,NBA,1977,FALSE,TRUE
Bob McAdoo,East,NBA,1977,FALSE,TRUE
George McGinnis,East,NBA,1977,FALSE,TRUE
Earl Monroe,East,NBA,1977,FALSE,TRUE
Rudy Tomjanovich,East,NBA,1977,FALSE,TRUE
Jo Jo White,East,NBA,1977,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1977,FALSE,TRUE
Rick Barry,West,NBA,1977,FALSE,TRUE
Don Buse,West,NBA,1977,FALSE,FALSE
Dan Issel,West,NBA,1977,FALSE,TRUE
Bobby Jones,West,NBA,1977,FALSE,TRUE
Billy Knight,West,NBA,1977,FALSE,FALSE
Bob Lanier,West,NBA,1977,FALSE,TRUE
Maurice Lucas,West,NBA,1977,FALSE,FALSE
Phil Smith,West,NBA,1977,FALSE,FALSE
David Thompson,West,NBA,1977,FALSE,TRUE
Norm Van Lier,West,NBA,1977,FALSE,FALSE
Bill Walton,West,NBA,1977,TRUE,TRUE
Paul Westphal,West,NBA,1977,FALSE,TRUE
Dave Bing,East,NBA,1976,FALSE,TRUE
Doug Collins,East,NBA,1976,FALSE,FALSE
Dave Cowens,East,NBA,1976,FALSE,TRUE
John Drew,East,NBA,1976,FALSE,FALSE
Walt Frazier,East,NBA,1976,FALSE,TRUE
John Havlicek,East,NBA,1976,FALSE,TRUE
Elvin Hayes,East,NBA,1976,FALSE,TRUE
Bob McAdoo,East,NBA,1976,FALSE,TRUE
George McGinnis,East,NBA,1976,FALSE,TRUE
Randy Smith,East,NBA,1976,FALSE,FALSE
Rudy Tomjanovich,East,NBA,1976,FALSE,TRUE
Jo Jo White,East,NBA,1976,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1976,FALSE,TRUE
Alvan Adams,West,NBA,1976,FALSE,FALSE
Tiny Archibald,West,NBA,1976,FALSE,TRUE
Rick Barry,West,NBA,1976,FALSE,TRUE
Fred Brown,West,NBA,1976,FALSE,FALSE
Bob Dandridge,West,NBA,1976,FALSE,TRUE
Curtis Rowe,West,NBA,1976,FALSE,FALSE
Phil Smith,West,NBA,1976,FALSE,FALSE
Norm Van Lier,West,NBA,1976,FALSE,FALSE
Scott Wedman,West,NBA,1976,FALSE,FALSE
Jamaal Wilkes,West,NBA,1976,FALSE,TRUE
Brian Winters,West,NBA,1976,FALSE,FALSE
Phil Chenier,East,NBA,1975,FALSE,FALSE
Dave Cowens,East,NBA,1975,FALSE,TRUE
Walt Frazier,East,NBA,1975,FALSE,TRUE
John Havlicek,East,NBA,1975,FALSE,TRUE
Elvin Hayes,East,NBA,1975,FALSE,TRUE
Bob McAdoo,East,NBA,1975,FALSE,TRUE
Steve Mix,East,NBA,1975,FALSE,FALSE
Earl Monroe,East,NBA,1975,FALSE,TRUE
Paul Silas,East,NBA,1975,FALSE,FALSE
Rudy Tomjanovich,East,NBA,1975,FALSE,TRUE
Wes Unseld,East,NBA,1975,FALSE,TRUE
Jo Jo White,East,NBA,1975,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1975,FALSE,TRUE
Tiny Archibald,West,NBA,1975,FALSE,TRUE
Rick Barry,West,NBA,1975,FALSE,TRUE
Dave Bing,West,NBA,1975,FALSE,TRUE
Bob Dandridge,West,NBA,1975,FALSE,TRUE
Gail Goodrich,West,NBA,1975,FALSE,TRUE
Spencer Haywood,West,NBA,1975,FALSE,TRUE
Sam Lacey,West,NBA,1975,FALSE,FALSE
Bob Lanier,West,NBA,1975,FALSE,TRUE
Jim Price,West,NBA,1975,FALSE,FALSE
Charlie Scott,West,NBA,1975,FALSE,TRUE
Sidney Wicks,West,NBA,1975,FALSE,FALSE
Austin Carr,East,NBA,1974,FALSE,FALSE
Phil Chenier,East,NBA,1974,FALSE,FALSE
Dave Cowens,East,NBA,1974,FALSE,TRUE
Dave DeBusschere,East,NBA,1974,FALSE,TRUE
Walt Frazier,East,NBA,1974,FALSE,TRUE
John Havlicek,East,NBA,1974,FALSE,TRUE
Elvin Hayes,East,NBA,1974,FALSE,TRUE
Lou Hudson,East,NBA,1974,FALSE,FALSE
Pete Maravich,East,NBA,1974,FALSE,TRUE
Bob McAdoo,East,NBA,1974,FALSE,TRUE
Rudy Tomjanovich,East,NBA,1974,FALSE,TRUE
Jo Jo White,East,NBA,1974,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1974,FALSE,TRUE
Rick Barry,West,NBA,1974,FALSE,TRUE
Dave Bing,West,NBA,1974,FALSE,TRUE
Gail Goodrich,West,NBA,1974,FALSE,TRUE
Spencer Haywood,West,NBA,1974,FALSE,TRUE
Bob Lanier,West,NBA,1974,FALSE,TRUE
Geoff Petrie,West,NBA,1974,FALSE,FALSE
Charlie Scott,West,NBA,1974,FALSE,TRUE
Nate Thurmond,West,NBA,1974,FALSE,TRUE
Norm Van Lier,West,NBA,1974,FALSE,FALSE
Chet Walker,West,NBA,1974,FALSE,TRUE
Jerry West,West,NBA,1974,TRUE,TRUE
Sidney Wicks,West,NBA,1974,FALSE,FALSE
John Block,East,NBA,1973,FALSE,FALSE
Bill Bradley,East,NBA,1973,FALSE,TRUE
Dave Cowens,East,NBA,1973,FALSE,TRUE
Dave DeBusschere,East,NBA,1973,FALSE,TRUE
Walt Frazier,East,NBA,1973,FALSE,TRUE
John Havlicek,East,NBA,1973,FALSE,TRUE
Elvin Hayes,East,NBA,1973,FALSE,TRUE
Lou Hudson,East,NBA,1973,FALSE,FALSE
Bob Kauffman,East,NBA,1973,FALSE,FALSE
Pete Maravich,East,NBA,1973,FALSE,TRUE
Jack Marin,East,NBA,1973,FALSE,FALSE
Wes Unseld,East,NBA,1973,FALSE,TRUE
Jo Jo White,East,NBA,1973,FALSE,TRUE
Lenny Wilkens,East,NBA,1973,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1973,TRUE,TRUE
Tiny Archibald,West,NBA,1973,FALSE,TRUE
Rick Barry,West,NBA,1973,TRUE,TRUE
Dave Bing,West,NBA,1973,FALSE,TRUE
Wilt Chamberlain,West,NBA,1973,FALSE,TRUE
Bob Dandridge,West,NBA,1973,FALSE,TRUE
Gail Goodrich,West,NBA,1973,FALSE,TRUE
Connie Hawkins,West,NBA,1973,FALSE,TRUE
Spencer Haywood,West,NBA,1973,FALSE,TRUE
Bob Lanier,West,NBA,1973,FALSE,TRUE
Bob Love,West,NBA,1973,FALSE,FALSE
Charlie Scott,West,NBA,1973,FALSE,TRUE
Nate Thurmond,West,NBA,1973,FALSE,TRUE
Chet Walker,West,NBA,1973,FALSE,TRUE
Jerry West,West,NBA,1973,FALSE,TRUE
Sidney Wicks,West,NBA,1973,FALSE,FALSE
Butch Beard,East,NBA,1972,FALSE,FALSE
Archie Clark,East,NBA,1972,FALSE,FALSE
Dave Cowens,East,NBA,1972,FALSE,TRUE
Billy Cunningham,East,NBA,1972,FALSE,TRUE
Dave DeBusschere,East,NBA,1972,FALSE,TRUE
Walt Frazier,East,NBA,1972,FALSE,TRUE
John Havlicek,East,NBA,1972,FALSE,TRUE
Lou Hudson,East,NBA,1972,FALSE,FALSE
John Johnson,East,NBA,1972,FALSE,FALSE
Bob Kauffman,East,NBA,1972,FALSE,FALSE
Jack Marin,East,NBA,1972,FALSE,FALSE
Wes Unseld,East,NBA,1972,FALSE,TRUE
Tom Van Arsdale,East,NBA,1972,FALSE,FALSE
Jo Jo White,East,NBA,1972,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1972,FALSE,TRUE
Wilt Chamberlain,West,NBA,1972,FALSE,TRUE
Gail Goodrich,West,NBA,1972,FALSE,TRUE
Connie Hawkins,West,NBA,1972,FALSE,TRUE
Elvin Hayes,West,NBA,1972,FALSE,TRUE
Spencer Haywood,West,NBA,1972,FALSE,TRUE
Bob Lanier,West,NBA,1972,FALSE,TRUE
Bob Love,West,NBA,1972,FALSE,FALSE
Oscar Robertson,West,NBA,1972,FALSE,TRUE
Cazzie Russell,West,NBA,1972,FALSE,FALSE
Paul Silas,West,NBA,1972,FALSE,FALSE
Jimmy Walker,West,NBA,1972,FALSE,FALSE
Jerry West,West,NBA,1972,FALSE,TRUE
Sidney Wicks,West,NBA,1972,FALSE,FALSE
Billy Cunningham,East,NBA,1971,FALSE,TRUE
Dave DeBusschere,East,NBA,1971,FALSE,TRUE
Walt Frazier,East,NBA,1971,FALSE,TRUE
Johnny Green,East,NBA,1971,FALSE,FALSE
John Havlicek,East,NBA,1971,FALSE,TRUE
Lou Hudson,East,NBA,1971,FALSE,FALSE
Gus Johnson,East,NBA,1971,FALSE,TRUE
John Johnson,East,NBA,1971,FALSE,FALSE
Bob Kauffman,East,NBA,1971,FALSE,FALSE
Earl Monroe,East,NBA,1971,FALSE,TRUE
Willis Reed,East,NBA,1971,FALSE,TRUE
Wes Unseld,East,NBA,1971,FALSE,TRUE
Tom Van Arsdale,East,NBA,1971,FALSE,FALSE
Jo Jo White,East,NBA,1971,FALSE,TRUE
Kareem Abdul-Jabbar,West,NBA,1971,FALSE,TRUE
Dave Bing,West,NBA,1971,FALSE,TRUE
Wilt Chamberlain,West,NBA,1971,FALSE,TRUE
Connie Hawkins,West,NBA,1971,FALSE,TRUE
Elvin Hayes,West,NBA,1971,FALSE,TRUE
Bob Love,West,NBA,1971,FALSE,FALSE
Jerry Lucas,West,NBA,1971,FALSE,TRUE
Jeff Mullins,West,NBA,1971,FALSE,FALSE
Geoff Petrie,West,NBA,1971,FALSE,FALSE
Oscar Robertson,West,NBA,1971,FALSE,TRUE
Dick Van Arsdale,West,NBA,1971,FALSE,FALSE
Chet Walker,West,NBA,1971,FALSE,TRUE
Jerry West,West,NBA,1971,FALSE,TRUE
Lenny Wilkens,West,NBA,1971,FALSE,TRUE
Kareem Abdul-Jabbar,East,NBA,1970,FALSE,TRUE
Billy Cunningham,East,NBA,1970,FALSE,TRUE
Dave DeBusschere,East,NBA,1970,FALSE,TRUE
Walt Frazier,East,NBA,1970,FALSE,TRUE
Hal Greer,East,NBA,1970,FALSE,TRUE
John Havlicek,East,NBA,1970,FALSE,TRUE
Gus Johnson,East,NBA,1970,FALSE,TRUE
Willis Reed,East,NBA,1970,FALSE,TRUE
Oscar Robertson,East,NBA,1970,FALSE,TRUE
Flynn Robinson,East,NBA,1970,FALSE,FALSE
Tom Van Arsdale,East,NBA,1970,FALSE,FALSE
Jimmy Walker,East,NBA,1970,FALSE,FALSE
Elgin Baylor,West,NBA,1970,FALSE,TRUE
Bill Bridges,West,NBA,1970,FALSE,FALSE
Joe Caldwell,West,NBA,1970,FALSE,FALSE
Connie Hawkins,West,NBA,1970,FALSE,TRUE
Elvin Hayes,West,NBA,1970,FALSE,TRUE
Lou Hudson,West,NBA,1970,FALSE,FALSE
Jeff Mullins,West,NBA,1970,FALSE,FALSE
Bob Rule,West,NBA,1970,FALSE,FALSE
Nate Thurmond,West,NBA,1970,TRUE,TRUE
Dick Van Arsdale,West,NBA,1970,FALSE,FALSE
Chet Walker,West,NBA,1970,FALSE,TRUE
Jerry West,West,NBA,1970,FALSE,TRUE
Lenny Wilkens,West,NBA,1970,FALSE,TRUE
Dave Bing,East,NBA,1969,FALSE,TRUE
Billy Cunningham,East,NBA,1969,FALSE,TRUE
Hal Greer,East,NBA,1969,FALSE,TRUE
John Havlicek,East,NBA,1969,FALSE,TRUE
Gus Johnson,East,NBA,1969,FALSE,TRUE
Jerry Lucas,East,NBA,1969,FALSE,TRUE
Jon McGlocklin,East,NBA,1969,FALSE,FALSE
Earl Monroe,East,NBA,1969,FALSE,TRUE
Willis Reed,East,NBA,1969,FALSE,TRUE
Oscar Robertson,East,NBA,1969,FALSE,TRUE
Bill Russell,East,NBA,1969,FALSE,TRUE
Wes Unseld,East,NBA,1969,FALSE,TRUE
Elgin Baylor,West,NBA,1969,FALSE,TRUE
Joe Caldwell,West,NBA,1969,FALSE,FALSE
Wilt Chamberlain,West,NBA,1969,FALSE,TRUE
Gail Goodrich,West,NBA,1969,FALSE,TRUE
Elvin Hayes,West,NBA,1969,FALSE,TRUE
Lou Hudson,West,NBA,1969,FALSE,FALSE
Don Kojis,West,NBA,1969,FALSE,FALSE
Rudy LaRusso,West,NBA,1969,FALSE,FALSE
Jeff Mullins,West,NBA,1969,FALSE,FALSE
Jerry Sloan,West,NBA,1969,FALSE,TRUE
Dick Van Arsdale,West,NBA,1969,FALSE,FALSE
Jerry West,West,NBA,1969,TRUE,TRUE
Lenny Wilkens,West,NBA,1969,FALSE,TRUE
Dick Barnett,East,NBA,1968,FALSE,FALSE
Dave Bing,East,NBA,1968,FALSE,TRUE
Wilt Chamberlain,East,NBA,1968,FALSE,TRUE
Dave DeBusschere,East,NBA,1968,FALSE,TRUE
Hal Greer,East,NBA,1968,FALSE,TRUE
John Havlicek,East,NBA,1968,FALSE,TRUE
Gus Johnson,East,NBA,1968,FALSE,TRUE
Sam Jones,East,NBA,1968,FALSE,TRUE
Jerry Lucas,East,NBA,1968,FALSE,TRUE
Willis Reed,East,NBA,1968,FALSE,TRUE
Oscar Robertson,East,NBA,1968,FALSE,TRUE
Bill Russell,East,NBA,1968,FALSE,TRUE
Walt Hazzard,West,NBA,1968,FALSE,FALSE
Elgin Baylor,West,NBA,1968,FALSE,TRUE
Zelmo Beaty,West,NBA,1968,FALSE,TRUE
Bob Boozer,West,NBA,1968,FALSE,FALSE
Bill Bridges,West,NBA,1968,FALSE,FALSE
Archie Clark,West,NBA,1968,FALSE,FALSE
Jim King,West,NBA,1968,FALSE,FALSE
Don Kojis,West,NBA,1968,FALSE,FALSE
Rudy LaRusso,West,NBA,1968,FALSE,FALSE
Clyde Lee,West,NBA,1968,FALSE,FALSE
Nate Thurmond,West,NBA,1968,TRUE,TRUE
Jerry West,West,NBA,1968,FALSE,TRUE
Lenny Wilkens,West,NBA,1968,FALSE,TRUE
Wilt Chamberlain,East,NBA,1967,FALSE,TRUE
Hal Greer,East,NBA,1967,FALSE,TRUE
John Havlicek,East,NBA,1967,FALSE,TRUE
Bailey Howell,East,NBA,1967,FALSE,TRUE
Jerry Lucas,East,NBA,1967,FALSE,TRUE
Don Ohl,East,NBA,1967,FALSE,FALSE
Willis Reed,East,NBA,1967,FALSE,TRUE
Oscar Robertson,East,NBA,1967,FALSE,TRUE
Bill Russell,East,NBA,1967,FALSE,TRUE
Chet Walker,East,NBA,1967,FALSE,TRUE
Rick Barry,West,NBA,1967,FALSE,TRUE
Elgin Baylor,West,NBA,1967,FALSE,TRUE
Bill Bridges,West,NBA,1967,FALSE,FALSE
Dave DeBusschere,West,NBA,1967,FALSE,TRUE
Darrall Imhoff,West,NBA,1967,FALSE,FALSE
Guy Rodgers,West,NBA,1967,FALSE,TRUE
Jerry Sloan,West,NBA,1967,FALSE,TRUE
Nate Thurmond,West,NBA,1967,FALSE,TRUE
Jerry West,West,NBA,1967,FALSE,TRUE
Lenny Wilkens,West,NBA,1967,FALSE,TRUE
Wilt Chamberlain,East,NBA,1966,FALSE,TRUE
Hal Greer,East,NBA,1966,FALSE,TRUE
John Havlicek,East,NBA,1966,FALSE,TRUE
Sam Jones,East,NBA,1966,FALSE,TRUE
Jerry Lucas,East,NBA,1966,FALSE,TRUE
Willis Reed,East,NBA,1966,FALSE,TRUE
Oscar Robertson,East,NBA,1966,FALSE,TRUE
Bill Russell,East,NBA,1966,FALSE,TRUE
Adrian Smith,East,NBA,1966,FALSE,FALSE
Chet Walker,East,NBA,1966,FALSE,TRUE
Rick Barry,West,NBA,1966,FALSE,TRUE
Zelmo Beaty,West,NBA,1966,FALSE,TRUE
Dave DeBusschere,West,NBA,1966,FALSE,TRUE
Bailey Howell,West,NBA,1966,FALSE,TRUE
Rudy LaRusso,West,NBA,1966,FALSE,FALSE
Eddie Miles,West,NBA,1966,FALSE,FALSE
Don Ohl,West,NBA,1966,FALSE,FALSE
Guy Rodgers,West,NBA,1966,FALSE,TRUE
Nate Thurmond,West,NBA,1966,FALSE,TRUE
Jerry West,West,NBA,1966,FALSE,TRUE
Larry Costello,East,NBA,1965,FALSE,FALSE
Wayne Embry,East,NBA,1965,FALSE,TRUE
Johnny Green,East,NBA,1965,FALSE,FALSE
Hal Greer,East,NBA,1965,FALSE,TRUE
Tom Heinsohn,East,NBA,1965,TRUE,TRUE
Luke Jackson,East,NBA,1965,FALSE,FALSE
Sam Jones,East,NBA,1965,FALSE,TRUE
Jerry Lucas,East,NBA,1965,FALSE,TRUE
Willis Reed,East,NBA,1965,FALSE,TRUE
Oscar Robertson,East,NBA,1965,FALSE,TRUE
Bill Russell,East,NBA,1965,FALSE,TRUE
Elgin Baylor,West,NBA,1965,FALSE,TRUE
Walt Bellamy,West,NBA,1965,FALSE,TRUE
Wilt Chamberlain,West,NBA,1965,FALSE,TRUE
Terry Dischinger,West,NBA,1965,FALSE,FALSE
Gus Johnson,West,NBA,1965,FALSE,TRUE
Don Ohl,West,NBA,1965,FALSE,FALSE
Bob Pettit,West,NBA,1965,FALSE,TRUE
Nate Thurmond,West,NBA,1965,FALSE,TRUE
Jerry West,West,NBA,1965,FALSE,TRUE
Lenny Wilkens,West,NBA,1965,FALSE,TRUE
Len Chappell,East,NBA,1964,FALSE,FALSE
Wayne Embry,East,NBA,1964,FALSE,TRUE
Tom Gola,East,NBA,1964,FALSE,TRUE
Hal Greer,East,NBA,1964,FALSE,TRUE
Tom Heinsohn,East,NBA,1964,FALSE,TRUE
Sam Jones,East,NBA,1964,FALSE,TRUE
Jerry Lucas,East,NBA,1964,FALSE,TRUE
Oscar Robertson,East,NBA,1964,FALSE,TRUE
Bill Russell,East,NBA,1964,FALSE,TRUE
Chet Walker,East,NBA,1964,FALSE,TRUE
Elgin Baylor,West,NBA,1964,FALSE,TRUE
Walt Bellamy,West,NBA,1964,FALSE,TRUE
Wilt Chamberlain,West,NBA,1964,FALSE,TRUE
Terry Dischinger,West,NBA,1964,FALSE,FALSE
Bailey Howell,West,NBA,1964,FALSE,TRUE
Don Ohl,West,NBA,1964,FALSE,FALSE
Bob Pettit,West,NBA,1964,FALSE,TRUE
Guy Rodgers,West,NBA,1964,FALSE,TRUE
Jerry West,West,NBA,1964,FALSE,TRUE
Lenny Wilkens,West,NBA,1964,FALSE,TRUE
Bob Cousy,East,NBA,1963,FALSE,TRUE
Wayne Embry,East,NBA,1963,TRUE,TRUE
Tom Gola,East,NBA,1963,FALSE,TRUE
Johnny Green,East,NBA,1963,FALSE,FALSE
Hal Greer,East,NBA,1963,FALSE,TRUE
Richie Guerin,East,NBA,1963,FALSE,TRUE
Tom Heinsohn,East,NBA,1963,FALSE,TRUE
Red Kerr,East,NBA,1963,FALSE,FALSE
Oscar Robertson,East,NBA,1963,FALSE,TRUE
Bill Russell,East,NBA,1963,FALSE,TRUE
Lee Shaffer,East,NBA,1963,FALSE,FALSE
Jack Twyman,East,NBA,1963,FALSE,TRUE
Elgin Baylor,West,NBA,1963,FALSE,TRUE
Walt Bellamy,West,NBA,1963,FALSE,TRUE
Wilt Chamberlain,West,NBA,1963,FALSE,TRUE
Terry Dischinger,West,NBA,1963,FALSE,FALSE
Bailey Howell,West,NBA,1963,FALSE,TRUE
Rudy LaRusso,West,NBA,1963,FALSE,FALSE
Tom Meschery,West,NBA,1963,FALSE,FALSE
Don Ohl,West,NBA,1963,FALSE,FALSE
Bob Pettit,West,NBA,1963,FALSE,TRUE
Guy Rodgers,West,NBA,1963,FALSE,TRUE
Jerry West,West,NBA,1963,FALSE,TRUE
Lenny Wilkens,West,NBA,1963,FALSE,TRUE
Paul Arizin,East,NBA,1962,FALSE,TRUE
Wilt Chamberlain,East,NBA,1962,FALSE,TRUE
Larry Costello,East,NBA,1962,TRUE,FALSE
Bob Cousy,East,NBA,1962,FALSE,TRUE
Tom Gola,East,NBA,1962,TRUE,TRUE
Johnny Green,East,NBA,1962,FALSE,FALSE
Hal Greer,East,NBA,1962,FALSE,TRUE
Richie Guerin,East,NBA,1962,FALSE,TRUE
Tom Heinsohn,East,NBA,1962,FALSE,TRUE
Sam Jones,East,NBA,1962,FALSE,TRUE
Willie Naulls,East,NBA,1962,FALSE,FALSE
Bill Russell,East,NBA,1962,FALSE,TRUE
Dolph Schayes,East,NBA,1962,FALSE,TRUE
Elgin Baylor,West,NBA,1962,FALSE,TRUE
Walt Bellamy,West,NBA,1962,FALSE,TRUE
Wayne Embry,West,NBA,1962,FALSE,TRUE
Cliff Hagan,West,NBA,1962,FALSE,TRUE
Bailey Howell,West,NBA,1962,FALSE,TRUE
Rudy LaRusso,West,NBA,1962,TRUE,FALSE
Bob Pettit,West,NBA,1962,FALSE,TRUE
Oscar Robertson,West,NBA,1962,FALSE,TRUE
Frank Selvy,West,NBA,1962,FALSE,FALSE
Gene Shue,West,NBA,1962,FALSE,FALSE
Jack Twyman,West,NBA,1962,FALSE,TRUE
Jerry West,West,NBA,1962,FALSE,TRUE
Paul Arizin,East,NBA,1961,FALSE,TRUE
Wilt Chamberlain,East,NBA,1961,FALSE,TRUE
Larry Costello,East,NBA,1961,FALSE,FALSE
Bob Cousy,East,NBA,1961,FALSE,TRUE
Tom Gola,East,NBA,1961,FALSE,TRUE
Hal Greer,East,NBA,1961,FALSE,TRUE
Richie Guerin,East,NBA,1961,FALSE,TRUE
Tom Heinsohn,East,NBA,1961,FALSE,TRUE
Willie Naulls,East,NBA,1961,FALSE,FALSE
Bill Russell,East,NBA,1961,FALSE,TRUE
Dolph Schayes,East,NBA,1961,FALSE,TRUE
Elgin Baylor,West,NBA,1961,FALSE,TRUE
Walter Dukes,West,NBA,1961,FALSE,FALSE
Wayne Embry,West,NBA,1961,FALSE,TRUE
Cliff Hagan,West,NBA,1961,FALSE,TRUE
Bailey Howell,West,NBA,1961,FALSE,TRUE
Hot Rod Hundley,West,NBA,1961,FALSE,FALSE
Clyde Lovellette,West,NBA,1961,FALSE,TRUE
Bob Pettit,West,NBA,1961,FALSE,TRUE
Oscar Robertson,West,NBA,1961,FALSE,TRUE
Gene Shue,West,NBA,1961,FALSE,FALSE
Jerry West,West,NBA,1961,FALSE,TRUE
Paul Arizin,East,NBA,1960,TRUE,TRUE
Wilt Chamberlain,East,NBA,1960,FALSE,TRUE
Larry Costello,East,NBA,1960,FALSE,FALSE
Bob Cousy,East,NBA,1960,FALSE,TRUE
Tom Gola,East,NBA,1960,FALSE,TRUE
Richie Guerin,East,NBA,1960,FALSE,TRUE
Willie Naulls,East,NBA,1960,FALSE,FALSE
Bill Russell,East,NBA,1960,FALSE,TRUE
Dolph Schayes,East,NBA,1960,FALSE,TRUE
Bill Sharman,East,NBA,1960,FALSE,TRUE
George Yardley,East,NBA,1960,FALSE,TRUE
Elgin Baylor,West,NBA,1960,FALSE,TRUE
Walter Dukes,West,NBA,1960,FALSE,FALSE
Dick Garmaker,West,NBA,1960,FALSE,FALSE
Cliff Hagan,West,NBA,1960,FALSE,TRUE
Hot Rod Hundley,West,NBA,1960,FALSE,FALSE
Clyde Lovellette,West,NBA,1960,FALSE,TRUE
Chuck Noble,West,NBA,1960,FALSE,FALSE
Bob Pettit,West,NBA,1960,FALSE,TRUE
Gene Shue,West,NBA,1960,FALSE,FALSE
Jack Twyman,West,NBA,1960,FALSE,TRUE
Paul Arizin,East,NBA,1959,FALSE,TRUE
Larry Costello,East,NBA,1959,FALSE,FALSE
Bob Cousy,East,NBA,1959,FALSE,TRUE
Richie Guerin,East,NBA,1959,FALSE,TRUE
Red Kerr,East,NBA,1959,FALSE,FALSE
Bill Russell,East,NBA,1959,FALSE,TRUE
Woody Sauldsberry,East,NBA,1959,FALSE,FALSE
Dolph Schayes,East,NBA,1959,FALSE,TRUE
Kenny Sears,East,NBA,1959,FALSE,FALSE
Bill Sharman,East,NBA,1959,FALSE,TRUE
Elgin Baylor,West,NBA,1959,FALSE,TRUE
Larry Foust,West,NBA,1959,FALSE,FALSE
Dick Garmaker,West,NBA,1959,FALSE,FALSE
Cliff Hagan,West,NBA,1959,FALSE,TRUE
Slater Martin,West,NBA,1959,FALSE,TRUE
Dick McGuire,West,NBA,1959,FALSE,TRUE
Bob Pettit,West,NBA,1959,FALSE,TRUE
Gene Shue,West,NBA,1959,FALSE,FALSE
Jack Twyman,West,NBA,1959,FALSE,TRUE
George Yardley,West,NBA,1959,FALSE,TRUE
Paul Arizin,East,NBA,1958,FALSE,TRUE
